Event Name,Date,Venue,City,Country,Genre,Main Artist,Supporting Artists,Ticket Price,Event Type,Venue Capacity,Event Status,Event URL,Organizer
Ed Sheeran Festival,2024-09-13,Sydney Opera House,Tokyo,UK,Rock,BTS,,$51 - $349,Concert,22906,Rescheduled,https://mockticketmaster.com/event/31682,Mock Promoter 7
BTS Festival,2025-01-04,Royal Albert Hall,Paris,Germany,Jazz,Drake,"Adele, Billie Eilish",$26 - $355,Festival,64185,Postponed,https://mockticketmaster.com/event/48152,Mock Promoter 5
Beyoncé Concert,2025-01-22,Hollywood Bowl,London,France,Rock,BTS,,$24 - $377,Festival,31260,Rescheduled,https://mockticketmaster.com/event/71192,Mock Promoter 7
Taylor Swift Concert,2024-12-17,Hollywood Bowl,Paris,Japan,Country,BTS,Taylor Swift,$141 - $228,Festival,94802,Scheduled,https://mockticketmaster.com/event/98585,Mock Promoter 1
Taylor Swift Festival,2024-08-04,O2 Arena,Sydney,Germany,Hip Hop,Taylor Swift,,$176 - $463,Festival,92372,Cancelled,https://mockticketmaster.com/event/76753,Mock Promoter 3
The Weeknd Festival,2024-11-01,O2 Arena,Mumbai,USA,Country,BTS,"BTS, Ed Sheeran, Beyoncé",$181 - $343,Festival,39141,Postponed,https://mockticketmaster.com/event/61460,Mock Promoter 5
Ed Sheeran Festival,2024-09-09,O2 Arena,Mumbai,Japan,Hip Hop,Taylor Swift,"Adele, Beyoncé, Ed Sheeran",$136 - $224,Concert,44778,Scheduled,https://mockticketmaster.com/event/13173,Mock Promoter 7
The Weeknd Festival,2024-09-24,O2 Arena,Paris,France,Jazz,Beyoncé,"BTS, Billie Eilish, Drake",$91 - $296,Concert,60078,Rescheduled,https://mockticketmaster.com/event/52650,Mock Promoter 5
Taylor Swift Festival,2024-08-31,Royal Albert Hall,Mumbai,Australia,Classical,Beyoncé,,$68 - $256,Festival,79744,Postponed,https://mockticketmaster.com/event/86273,Mock Promoter 1
Beyoncé Concert,2024-08-17,Madison Square Garden,Paris,France,Hip Hop,Adele,"Taylor Swift, Adele, The Weeknd",$145 - $317,Concert,44646,Postponed,https://mockticketmaster.com/event/47321,Mock Promoter 10
Beyoncé Festival,2024-12-12,O2 Arena,Mumbai,France,Country,Taylor Swift,"Beyoncé, Taylor Swift, Drake",$72 - $286,Concert,42560,Postponed,https://mockticketmaster.com/event/71403,Mock Promoter 5
Ed Sheeran Festival,2024-09-26,Hollywood Bowl,Tokyo,Germany,Hip Hop,Adele,"The Weeknd, BTS, Adele",$192 - $283,Concert,19932,Scheduled,https://mockticketmaster.com/event/34705,Mock Promoter 2
Billie Eilish Festival,2024-12-20,Madison Square Garden,New York,UK,Rock,Taylor Swift,"Beyoncé, Ed Sheeran, Taylor Swift",$159 - $249,Concert,50711,Scheduled,https://mockticketmaster.com/event/69403,Mock Promoter 9
The Weeknd Festival,2024-12-05,Hollywood Bowl,Tokyo,USA,Rock,The Weeknd,,$109 - $266,Festival,82319,Cancelled,https://mockticketmaster.com/event/97483,Mock Promoter 4
The Weeknd Concert,2024-08-06,O2 Arena,Tokyo,USA,R&B,BTS,"Drake, The Weeknd",$127 - $389,Festival,58049,Rescheduled,https://mockticketmaster.com/event/94577,Mock Promoter 3
BTS Concert,2024-12-06,O2 Arena,Sydney,France,Pop,BTS,"Ed Sheeran, Billie Eilish, Beyoncé",$45 - $251,Concert,65283,Cancelled,https://mockticketmaster.com/event/79087,Mock Promoter 1
Taylor Swift Festival,2025-01-07,Madison Square Garden,New York,France,R&B,The Weeknd,Billie Eilish,$36 - $335,Festival,11853,Cancelled,https://mockticketmaster.com/event/35615,Mock Promoter 6
The Weeknd Concert,2024-09-01,Royal Albert Hall,Tokyo,USA,Jazz,Ed Sheeran,BTS,$145 - $320,Concert,87163,Scheduled,https://mockticketmaster.com/event/55359,Mock Promoter 6
Adele Concert,2024-10-01,Madison Square Garden,Paris,UK,Classical,Ed Sheeran,"Adele, Beyoncé, Taylor Swift",$29 - $430,Concert,15331,Rescheduled,https://mockticketmaster.com/event/81075,Mock Promoter 5
Adele Festival,2024-10-14,Royal Albert Hall,Paris,UK,Hip Hop,Adele,"BTS, Billie Eilish, Drake",$56 - $298,Concert,66301,Postponed,https://mockticketmaster.com/event/59021,Mock Promoter 9
Beyoncé Concert,2024-08-07,Hollywood Bowl,Los Angeles,UK,Hip Hop,Ed Sheeran,"Drake, Taylor Swift, Billie Eilish",$81 - $496,Concert,39478,Cancelled,https://mockticketmaster.com/event/83774,Mock Promoter 8
Beyoncé Concert,2025-01-07,O2 Arena,Mumbai,USA,Electronic,Adele,Adele,$135 - $211,Concert,23603,Postponed,https://mockticketmaster.com/event/58064,Mock Promoter 10
Beyoncé Concert,2024-08-11,Madison Square Garden,Tokyo,India,Pop,Drake,"BTS, The Weeknd",$120 - $263,Festival,3734,Cancelled,https://mockticketmaster.com/event/36463,Mock Promoter 1
BTS Concert,2024-12-19,O2 Arena,Sydney,Germany,Hip Hop,Ed Sheeran,"Adele, BTS, Beyoncé",$191 - $325,Concert,96009,Scheduled,https://mockticketmaster.com/event/14759,Mock Promoter 10
Taylor Swift Festival,2024-12-19,Hollywood Bowl,Mumbai,Germany,Pop,Adele,"The Weeknd, BTS, Drake",$142 - $401,Concert,12970,Cancelled,https://mockticketmaster.com/event/10654,Mock Promoter 7
Billie Eilish Concert,2024-11-17,Royal Albert Hall,Berlin,Australia,Country,Drake,"Adele, Beyoncé",$145 - $415,Concert,28468,Scheduled,https://mockticketmaster.com/event/52303,Mock Promoter 10
BTS Festival,2025-01-13,Hollywood Bowl,London,France,Electronic,Adele,"BTS, Beyoncé, Drake",$72 - $296,Festival,15459,Rescheduled,https://mockticketmaster.com/event/44183,Mock Promoter 2
Drake Festival,2024-10-19,O2 Arena,Mumbai,Australia,Hip Hop,Drake,"Billie Eilish, The Weeknd, Taylor Swift",$116 - $381,Festival,63740,Cancelled,https://mockticketmaster.com/event/70782,Mock Promoter 4
Drake Festival,2025-01-20,Sydney Opera House,Los Angeles,France,Pop,Beyoncé,,$157 - $450,Concert,68343,Scheduled,https://mockticketmaster.com/event/35063,Mock Promoter 1
BTS Concert,2024-10-24,Madison Square Garden,London,Germany,R&B,Taylor Swift,"Drake, BTS, Beyoncé",$140 - $452,Concert,58830,Postponed,https://mockticketmaster.com/event/17093,Mock Promoter 6
The Weeknd Festival,2024-09-03,O2 Arena,Paris,India,Country,Adele,"Taylor Swift, The Weeknd",$92 - $470,Concert,46317,Scheduled,https://mockticketmaster.com/event/75313,Mock Promoter 8
BTS Festival,2024-10-10,O2 Arena,Los Angeles,Japan,Jazz,BTS,"Taylor Swift, Beyoncé, Ed Sheeran",$45 - $317,Concert,9125,Postponed,https://mockticketmaster.com/event/57002,Mock Promoter 2
Adele Festival,2024-12-11,Sydney Opera House,Berlin,France,Hip Hop,Drake,"Billie Eilish, BTS",$79 - $406,Concert,16030,Rescheduled,https://mockticketmaster.com/event/64620,Mock Promoter 2
Adele Festival,2024-12-07,Madison Square Garden,Paris,UK,Pop,Drake,"Billie Eilish, Adele, Ed Sheeran",$117 - $358,Festival,86080,Cancelled,https://mockticketmaster.com/event/15681,Mock Promoter 8
Ed Sheeran Concert,2024-09-24,Royal Albert Hall,Tokyo,USA,Pop,The Weeknd,Drake,$142 - $372,Concert,55954,Rescheduled,https://mockticketmaster.com/event/48448,Mock Promoter 9
BTS Festival,2024-10-18,Royal Albert Hall,New York,Japan,Electronic,The Weeknd,"Adele, Taylor Swift, Beyoncé",$119 - $438,Festival,90459,Postponed,https://mockticketmaster.com/event/20574,Mock Promoter 2
BTS Festival,2024-11-30,Sydney Opera House,London,India,Hip Hop,Drake,"Ed Sheeran, Drake",$21 - $389,Festival,76825,Scheduled,https://mockticketmaster.com/event/22833,Mock Promoter 7
The Weeknd Festival,2024-08-29,Sydney Opera House,London,Australia,Jazz,Drake,"Drake, Ed Sheeran, Taylor Swift",$57 - $500,Festival,18249,Rescheduled,https://mockticketmaster.com/event/81083,Mock Promoter 7
Taylor Swift Festival,2024-08-14,Madison Square Garden,Berlin,Japan,R&B,Drake,,$68 - $469,Concert,4672,Postponed,https://mockticketmaster.com/event/89554,Mock Promoter 4
Billie Eilish Concert,2024-10-11,O2 Arena,Los Angeles,Germany,Hip Hop,The Weeknd,Ed Sheeran,$85 - $227,Concert,69344,Scheduled,https://mockticketmaster.com/event/83424,Mock Promoter 4
The Weeknd Concert,2024-12-27,Madison Square Garden,Los Angeles,Australia,Country,Billie Eilish,"Taylor Swift, Billie Eilish",$145 - $486,Festival,90682,Rescheduled,https://mockticketmaster.com/event/79686,Mock Promoter 9
Ed Sheeran Concert,2024-09-29,O2 Arena,Mumbai,Australia,R&B,The Weeknd,Adele,$176 - $439,Concert,29601,Postponed,https://mockticketmaster.com/event/54131,Mock Promoter 6
Drake Concert,2024-08-21,Sydney Opera House,London,India,Rock,The Weeknd,,$67 - $208,Concert,60755,Scheduled,https://mockticketmaster.com/event/37661,Mock Promoter 1
Ed Sheeran Concert,2024-08-26,Madison Square Garden,Berlin,France,Hip Hop,The Weeknd,Ed Sheeran,$187 - $267,Concert,7061,Scheduled,https://mockticketmaster.com/event/39493,Mock Promoter 5
Ed Sheeran Concert,2024-08-07,O2 Arena,Paris,Japan,R&B,Beyoncé,"Taylor Swift, Ed Sheeran",$70 - $399,Festival,19475,Postponed,https://mockticketmaster.com/event/32755,Mock Promoter 5
Ed Sheeran Festival,2024-11-19,Sydney Opera House,Tokyo,India,Jazz,Adele,Adele,$160 - $416,Concert,34518,Postponed,https://mockticketmaster.com/event/71127,Mock Promoter 1
Drake Festival,2024-09-11,Hollywood Bowl,Berlin,UK,Rock,Billie Eilish,"Adele, Billie Eilish",$170 - $313,Festival,26169,Cancelled,https://mockticketmaster.com/event/64555,Mock Promoter 10
The Weeknd Festival,2024-10-05,Madison Square Garden,Sydney,France,Pop,Billie Eilish,BTS,$72 - $215,Festival,75300,Postponed,https://mockticketmaster.com/event/21414,Mock Promoter 1
Taylor Swift Festival,2025-01-01,Hollywood Bowl,Tokyo,UK,Classical,The Weeknd,,$139 - $371,Concert,59661,Rescheduled,https://mockticketmaster.com/event/31592,Mock Promoter 3
The Weeknd Festival,2024-11-13,Royal Albert Hall,London,India,Classical,BTS,"Drake, The Weeknd, BTS",$165 - $402,Concert,14924,Cancelled,https://mockticketmaster.com/event/30149,Mock Promoter 2
Adele Concert,2024-10-23,Madison Square Garden,Tokyo,UK,Pop,Taylor Swift,,$35 - $290,Festival,47493,Postponed,https://mockticketmaster.com/event/41855,Mock Promoter 8
The Weeknd Festival,2024-11-10,Hollywood Bowl,Berlin,Australia,Classical,Drake,The Weeknd,$113 - $341,Festival,42644,Postponed,https://mockticketmaster.com/event/43582,Mock Promoter 3
BTS Festival,2024-12-07,Royal Albert Hall,Berlin,India,R&B,Drake,Drake,$115 - $432,Concert,19090,Cancelled,https://mockticketmaster.com/event/29575,Mock Promoter 5
Billie Eilish Festival,2024-11-17,Madison Square Garden,Mumbai,Japan,Rock,Drake,"Ed Sheeran, BTS",$126 - $478,Concert,17485,Scheduled,https://mockticketmaster.com/event/95580,Mock Promoter 4
Drake Festival,2024-10-18,O2 Arena,Berlin,Japan,Jazz,Billie Eilish,"Beyoncé, The Weeknd, Taylor Swift",$84 - $332,Festival,2879,Rescheduled,https://mockticketmaster.com/event/62598,Mock Promoter 4
Billie Eilish Festival,2024-10-03,Royal Albert Hall,Sydney,India,R&B,Drake,The Weeknd,$89 - $231,Concert,33131,Cancelled,https://mockticketmaster.com/event/31891,Mock Promoter 4
Drake Festival,2024-10-08,Madison Square Garden,New York,USA,R&B,Ed Sheeran,,$106 - $218,Festival,53311,Cancelled,https://mockticketmaster.com/event/93108,Mock Promoter 6
Billie Eilish Festival,2024-11-27,Royal Albert Hall,Tokyo,India,Jazz,BTS,"Ed Sheeran, The Weeknd",$96 - $317,Festival,41258,Rescheduled,https://mockticketmaster.com/event/79505,Mock Promoter 9
Beyoncé Concert,2025-01-24,Royal Albert Hall,Los Angeles,UK,Country,BTS,,$179 - $447,Festival,30189,Postponed,https://mockticketmaster.com/event/21118,Mock Promoter 3
Beyoncé Concert,2024-12-03,Sydney Opera House,Mumbai,France,Pop,Billie Eilish,The Weeknd,$154 - $358,Festival,48223,Cancelled,https://mockticketmaster.com/event/94251,Mock Promoter 5
BTS Concert,2025-01-07,Hollywood Bowl,Paris,Germany,Hip Hop,Taylor Swift,,$144 - $323,Concert,29064,Cancelled,https://mockticketmaster.com/event/77186,Mock Promoter 3
Adele Concert,2024-10-31,Hollywood Bowl,New York,Japan,Country,Adele,Taylor Swift,$88 - $383,Festival,16273,Rescheduled,https://mockticketmaster.com/event/66922,Mock Promoter 6
The Weeknd Festival,2024-08-10,Hollywood Bowl,Mumbai,Australia,Classical,Billie Eilish,"BTS, Billie Eilish, Taylor Swift",$138 - $309,Concert,8136,Scheduled,https://mockticketmaster.com/event/90696,Mock Promoter 7
Billie Eilish Festival,2024-10-03,Sydney Opera House,Berlin,Germany,Jazz,Taylor Swift,"BTS, Taylor Swift, Ed Sheeran",$90 - $279,Festival,27046,Postponed,https://mockticketmaster.com/event/89169,Mock Promoter 7
Adele Festival,2024-11-28,O2 Arena,Los Angeles,France,Jazz,Drake,Adele,$165 - $342,Concert,18443,Postponed,https://mockticketmaster.com/event/73591,Mock Promoter 1
Beyoncé Concert,2025-01-04,Royal Albert Hall,Paris,UK,Classical,Adele,"Adele, Taylor Swift, Drake",$126 - $240,Festival,52921,Scheduled,https://mockticketmaster.com/event/24685,Mock Promoter 9
Taylor Swift Concert,2024-12-28,Hollywood Bowl,Tokyo,Germany,Jazz,Adele,"Ed Sheeran, Adele",$185 - $331,Concert,98265,Postponed,https://mockticketmaster.com/event/13309,Mock Promoter 1
Ed Sheeran Festival,2024-11-17,Sydney Opera House,Los Angeles,USA,Electronic,BTS,,$47 - $415,Festival,49890,Rescheduled,https://mockticketmaster.com/event/87970,Mock Promoter 1
BTS Concert,2024-08-17,Hollywood Bowl,Mumbai,France,Electronic,The Weeknd,,$107 - $373,Concert,39612,Cancelled,https://mockticketmaster.com/event/18594,Mock Promoter 9
BTS Concert,2024-08-13,Madison Square Garden,Mumbai,USA,Rock,Taylor Swift,Taylor Swift,$72 - $247,Concert,70294,Scheduled,https://mockticketmaster.com/event/49450,Mock Promoter 4
The Weeknd Concert,2024-08-28,Sydney Opera House,Los Angeles,France,R&B,Ed Sheeran,"BTS, Ed Sheeran",$158 - $212,Concert,54826,Rescheduled,https://mockticketmaster.com/event/24275,Mock Promoter 8
The Weeknd Concert,2025-01-05,Royal Albert Hall,New York,Japan,Hip Hop,Ed Sheeran,,$137 - $219,Festival,7718,Postponed,https://mockticketmaster.com/event/72022,Mock Promoter 3
Ed Sheeran Festival,2024-11-20,Sydney Opera House,Paris,Japan,Electronic,Billie Eilish,,$185 - $267,Festival,70843,Scheduled,https://mockticketmaster.com/event/79070,Mock Promoter 6
Beyoncé Concert,2024-12-01,Royal Albert Hall,Berlin,UK,Hip Hop,Beyoncé,"Beyoncé, Taylor Swift, Billie Eilish",$181 - $393,Festival,66241,Postponed,https://mockticketmaster.com/event/24810,Mock Promoter 10
Beyoncé Concert,2025-01-05,Madison Square Garden,New York,France,Hip Hop,Billie Eilish,,$96 - $252,Festival,77725,Rescheduled,https://mockticketmaster.com/event/91350,Mock Promoter 9
Adele Concert,2025-01-19,Sydney Opera House,Berlin,Japan,Rock,Beyoncé,Drake,$194 - $496,Festival,43520,Cancelled,https://mockticketmaster.com/event/82899,Mock Promoter 3
The Weeknd Concert,2024-08-05,Madison Square Garden,Paris,India,Rock,Adele,,$141 - $244,Festival,15090,Scheduled,https://mockticketmaster.com/event/51826,Mock Promoter 9
Ed Sheeran Festival,2024-08-22,Madison Square Garden,Mumbai,UK,Country,Adele,"Ed Sheeran, BTS",$92 - $274,Festival,1063,Rescheduled,https://mockticketmaster.com/event/20043,Mock Promoter 3
Taylor Swift Festival,2025-01-08,Sydney Opera House,London,Germany,Electronic,Beyoncé,,$109 - $402,Festival,28913,Postponed,https://mockticketmaster.com/event/39525,Mock Promoter 9
Adele Festival,2024-11-02,Sydney Opera House,Mumbai,USA,Pop,Ed Sheeran,,$83 - $430,Festival,59967,Scheduled,https://mockticketmaster.com/event/62364,Mock Promoter 4
Ed Sheeran Concert,2024-12-13,Sydney Opera House,Sydney,Japan,Pop,Drake,"Adele, Drake, Ed Sheeran",$191 - $472,Festival,99789,Postponed,https://mockticketmaster.com/event/25817,Mock Promoter 3
Drake Festival,2024-10-31,O2 Arena,Los Angeles,USA,Classical,The Weeknd,"Drake, Taylor Swift, Billie Eilish",$152 - $313,Concert,57969,Rescheduled,https://mockticketmaster.com/event/56163,Mock Promoter 1
Adele Concert,2024-12-09,Madison Square Garden,London,UK,R&B,Taylor Swift,"Drake, BTS",$108 - $372,Concert,55229,Rescheduled,https://mockticketmaster.com/event/94173,Mock Promoter 2
Taylor Swift Festival,2024-12-22,O2 Arena,New York,Australia,Jazz,BTS,Beyoncé,$110 - $457,Festival,15186,Cancelled,https://mockticketmaster.com/event/98569,Mock Promoter 8
The Weeknd Festival,2024-08-17,Royal Albert Hall,Sydney,France,Pop,The Weeknd,Adele,$43 - $361,Concert,10270,Cancelled,https://mockticketmaster.com/event/82395,Mock Promoter 10
Drake Concert,2024-10-07,Royal Albert Hall,New York,UK,Electronic,Billie Eilish,"Beyoncé, BTS, Drake",$102 - $275,Festival,94182,Cancelled,https://mockticketmaster.com/event/86733,Mock Promoter 2
Taylor Swift Festival,2025-01-06,Royal Albert Hall,London,USA,Country,Ed Sheeran,Taylor Swift,$64 - $488,Festival,76917,Postponed,https://mockticketmaster.com/event/65130,Mock Promoter 9
Adele Concert,2025-01-22,Royal Albert Hall,Berlin,Australia,Jazz,Adele,Ed Sheeran,$155 - $239,Concert,25587,Rescheduled,https://mockticketmaster.com/event/66829,Mock Promoter 4
Beyoncé Concert,2024-10-21,Sydney Opera House,Berlin,Japan,Classical,Drake,Adele,$28 - $232,Festival,10115,Postponed,https://mockticketmaster.com/event/18976,Mock Promoter 8
Ed Sheeran Festival,2024-11-09,Madison Square Garden,Berlin,Australia,Classical,Ed Sheeran,Taylor Swift,$165 - $439,Concert,60131,Scheduled,https://mockticketmaster.com/event/39671,Mock Promoter 4
Adele Festival,2024-11-09,Madison Square Garden,London,Australia,Classical,Drake,"Taylor Swift, BTS",$49 - $310,Concert,58570,Scheduled,https://mockticketmaster.com/event/16925,Mock Promoter 10
Drake Festival,2025-01-23,Royal Albert Hall,Berlin,India,Electronic,Ed Sheeran,"The Weeknd, Drake, Taylor Swift",$79 - $224,Concert,18923,Scheduled,https://mockticketmaster.com/event/67223,Mock Promoter 1
Billie Eilish Concert,2024-09-18,Royal Albert Hall,Berlin,Japan,Electronic,Drake,"The Weeknd, BTS",$143 - $227,Festival,37274,Rescheduled,https://mockticketmaster.com/event/20818,Mock Promoter 9
The Weeknd Concert,2024-11-05,O2 Arena,Berlin,Germany,Hip Hop,Drake,,$23 - $298,Festival,77350,Cancelled,https://mockticketmaster.com/event/29249,Mock Promoter 3
Beyoncé Concert,2024-11-01,Hollywood Bowl,Tokyo,Germany,Pop,Ed Sheeran,"Drake, BTS",$56 - $360,Concert,59376,Scheduled,https://mockticketmaster.com/event/88980,Mock Promoter 2
The Weeknd Concert,2024-12-09,Sydney Opera House,Paris,Australia,Hip Hop,Billie Eilish,,$109 - $307,Festival,30046,Postponed,https://mockticketmaster.com/event/17589,Mock Promoter 4
Adele Festival,2025-01-09,Royal Albert Hall,Sydney,Australia,Classical,The Weeknd,The Weeknd,$88 - $334,Concert,56077,Cancelled,https://mockticketmaster.com/event/15966,Mock Promoter 2
Adele Festival,2024-09-01,Madison Square Garden,London,France,Rock,Billie Eilish,"Beyoncé, Drake",$116 - $438,Festival,65842,Rescheduled,https://mockticketmaster.com/event/66742,Mock Promoter 6
Billie Eilish Concert,2024-12-12,Royal Albert Hall,London,Australia,Electronic,Billie Eilish,"Ed Sheeran, BTS",$168 - $366,Festival,85850,Rescheduled,https://mockticketmaster.com/event/76392,Mock Promoter 10
Taylor Swift Concert,2024-11-27,Royal Albert Hall,New York,France,Jazz,Taylor Swift,"Beyoncé, Taylor Swift",$125 - $308,Concert,37794,Scheduled,https://mockticketmaster.com/event/80981,Mock Promoter 3
Beyoncé Festival,2024-12-08,Sydney Opera House,Berlin,India,Electronic,Adele,"BTS, Beyoncé, The Weeknd",$47 - $471,Festival,8911,Scheduled,https://mockticketmaster.com/event/49465,Mock Promoter 4
The Weeknd Festival,2024-12-18,Madison Square Garden,Mumbai,Japan,Hip Hop,Billie Eilish,"Billie Eilish, Taylor Swift",$83 - $500,Concert,77964,Postponed,https://mockticketmaster.com/event/25099,Mock Promoter 3
Beyoncé Festival,2024-08-12,Hollywood Bowl,Berlin,Australia,R&B,Billie Eilish,,$56 - $491,Festival,57003,Cancelled,https://mockticketmaster.com/event/79879,Mock Promoter 4
BTS Concert,2024-10-02,Sydney Opera House,Sydney,Germany,R&B,BTS,Taylor Swift,$193 - $476,Concert,49798,Cancelled,https://mockticketmaster.com/event/63363,Mock Promoter 5
Drake Concert,2024-08-07,Sydney Opera House,Paris,Germany,Hip Hop,Drake,"Adele, Drake",$49 - $345,Concert,58300,Rescheduled,https://mockticketmaster.com/event/20689,Mock Promoter 9
Ed Sheeran Concert,2024-09-16,Royal Albert Hall,Mumbai,UK,Pop,Adele,Ed Sheeran,$183 - $208,Concert,39469,Cancelled,https://mockticketmaster.com/event/81128,Mock Promoter 9
Billie Eilish Concert,2025-01-10,Hollywood Bowl,New York,Australia,Rock,Beyoncé,"Ed Sheeran, Drake, BTS",$47 - $348,Festival,27005,Cancelled,https://mockticketmaster.com/event/72140,Mock Promoter 1
Ed Sheeran Concert,2024-10-20,O2 Arena,Sydney,USA,Electronic,Adele,,$187 - $340,Festival,5250,Scheduled,https://mockticketmaster.com/event/86742,Mock Promoter 3
Adele Festival,2024-11-17,Hollywood Bowl,Los Angeles,Australia,Jazz,Beyoncé,Taylor Swift,$132 - $412,Festival,68606,Scheduled,https://mockticketmaster.com/event/66695,Mock Promoter 2
Taylor Swift Festival,2024-08-15,Sydney Opera House,Tokyo,UK,Jazz,Ed Sheeran,,$57 - $420,Concert,81393,Rescheduled,https://mockticketmaster.com/event/98969,Mock Promoter 6
Ed Sheeran Festival,2024-12-03,Royal Albert Hall,Los Angeles,France,Jazz,Billie Eilish,Billie Eilish,$41 - $353,Festival,74963,Cancelled,https://mockticketmaster.com/event/94413,Mock Promoter 9
The Weeknd Concert,2024-10-03,Sydney Opera House,Berlin,USA,Jazz,Billie Eilish,,$114 - $220,Concert,95348,Scheduled,https://mockticketmaster.com/event/73882,Mock Promoter 7
Ed Sheeran Festival,2024-08-26,Sydney Opera House,New York,USA,Country,Billie Eilish,,$25 - $384,Concert,4734,Rescheduled,https://mockticketmaster.com/event/84072,Mock Promoter 4
Billie Eilish Festival,2024-08-13,Sydney Opera House,Mumbai,USA,Country,The Weeknd,"The Weeknd, Taylor Swift",$171 - $227,Concert,77198,Rescheduled,https://mockticketmaster.com/event/86983,Mock Promoter 3
The Weeknd Concert,2024-09-07,Sydney Opera House,Berlin,UK,Electronic,Ed Sheeran,Beyoncé,$73 - $493,Concert,32626,Cancelled,https://mockticketmaster.com/event/65552,Mock Promoter 2
Taylor Swift Concert,2024-11-08,Hollywood Bowl,Paris,France,Rock,Adele,Drake,$129 - $413,Festival,62824,Scheduled,https://mockticketmaster.com/event/32639,Mock Promoter 10
Adele Concert,2024-09-22,Royal Albert Hall,Los Angeles,Japan,Pop,Ed Sheeran,,$136 - $440,Concert,7718,Cancelled,https://mockticketmaster.com/event/49786,Mock Promoter 3
Ed Sheeran Concert,2024-12-17,Royal Albert Hall,Tokyo,UK,Pop,Drake,Billie Eilish,$129 - $487,Concert,68169,Scheduled,https://mockticketmaster.com/event/42600,Mock Promoter 9
Beyoncé Concert,2024-08-29,Sydney Opera House,London,UK,Country,Ed Sheeran,BTS,$30 - $452,Concert,91700,Cancelled,https://mockticketmaster.com/event/35174,Mock Promoter 2
